,precision,recall,f1-score,support
Real,0.0,0.0,0.0,0.0
synthetic,1.0,0.8917538461538461,0.942780000650597,97500.0
accuracy,0.8917538461538461,0.8917538461538461,0.8917538461538461,0.8917538461538461
macro avg,0.5,0.44587692307692306,0.4713900003252985,97500.0
weighted avg,1.0,0.8917538461538461,0.9427800006505969,97500.0
